YearStart,LocationDesc,Question,Death
2019,Alabama,Chronic liver disease,13.6
2016,Mississippi,Chronic liver disease,6.5
2011,New Mexico,Chronic liver disease,27.8
2020,Michigan,Chronic liver disease,19.9
2014,Michigan,Chronic liver disease,10.4
2019,Delaware,Chronic liver disease,6.8
2018,Alaska,Chronic liver disease,15.9
2014,New Mexico,Chronic liver disease,22.5
2019,Oregon,Chronic liver disease,39.2
2019,Oregon,Chronic liver disease,
2019,Maryland,Chronic liver disease,10.8
2020,Colorado,Chronic liver disease,
2012,Alaska,Chronic liver disease,
2018,Arkansas,Chronic liver disease,10.1
2014,Arizona,Chronic liver disease,11.7
2011,Maryland,Chronic liver disease,8.3
2012,New Hampshire,Chronic liver disease,7.4
2013,Nevada,Chronic liver disease,15.5
2011,Michigan,Chronic liver disease,10.9
2019,New Hampshire,Chronic liver disease,
2018,Illinois,Chronic liver disease,7.6
2011,Oklahoma,Chronic liver disease,11.5
2014,Indiana,Chronic liver disease,10.4
2017,Arizona,Chronic liver disease,
2013,Kentucky,Chronic liver disease,11.2
2020,Maine,Chronic liver disease,
2014,Mississippi,Chronic liver disease,
2011,Kansas,Chronic liver disease,
2013,Iowa,Chronic liver disease,12.6
2020,California,Chronic liver disease,19.5
2018,Georgia,Chronic liver disease,12.4
2014,Maryland,Chronic liver disease,8.3
2013,Connecticut,Chronic liver disease,
2014,Oklahoma,Chronic liver disease,10.8
2013,Montana,Chronic liver disease,
2018,Montana,Chronic liver disease,8.5
2017,Indiana,Chronic liver disease,15.2
2014,Maryland,Chronic liver disease,5.0
2011,Connecticut,Chronic liver disease,
2018,New Jersey,Chronic liver disease,11.4
2014,Delaware,Chronic liver disease,
2010,Minnesota,Chronic liver disease,
2010,Oregon,Chronic liver disease,14.8
2020,Mississippi,Chronic liver disease,
2013,Delaware,Chronic liver disease,
2016,Maine,Chronic liver disease,
2018,Kentucky,Chronic liver disease,
2014,Oklahoma,Chronic liver disease,12.3
2013,District of Columbia,Chronic liver disease,
2016,New Jersey,Chronic liver disease,7.8
2020,North Dakota,Chronic liver disease,21.3
2019,North Carolina,Chronic liver disease,
2018,Oregon,Chronic liver disease,10.4
2012,Kentucky,Chronic liver disease,15.0
2015,Delaware,Chronic liver disease,
2012,Hawaii,Chronic liver disease,
2017,Mississippi,Chronic liver disease,8.4
2014,Kansas,Chronic liver disease,11.8
2010,Indiana,Chronic liver disease,9.0
2020,California,Chronic liver disease,18.5
2011,Nebraska,Chronic liver disease,6.4
2011,Idaho,Chronic liver disease,8.4
2017,Arizona,Chronic liver disease,14.3
2019,New York,Chronic liver disease,8.7
2017,Kentucky,Chronic liver disease,
2019,Nebraska,Chronic liver disease,
2017,Colorado,Chronic liver disease,
2013,Florida,Chronic liver disease,
2012,Massachusetts,Chronic liver disease,11.1
2018,Michigan,Chronic liver disease,8.9
2019,Iowa,Chronic liver disease,9.5
2012,North Carolina,Chronic liver disease,6.6
2019,New Jersey,Chronic liver disease,
2013,Missouri,Chronic liver disease,
2012,Michigan,Chronic liver disease,9.8
2012,Oklahoma,Chronic liver disease,19.8
2013,Georgia,Chronic liver disease,5.7
2015,Maryland,Chronic liver disease,7.7
2016,Missouri,Chronic liver disease,11.5
2020,Delaware,Chronic liver disease,
2014,Arizona,Chronic liver disease,8.8
2018,Georgia,Chronic liver disease,
2014,Iowa,Chronic liver disease,8.7
2010,Colorado,Chronic liver disease,8.0
2019,Nevada,Chronic liver disease,
2020,Florida,Chronic liver disease,9.1
2018,Massachusetts,Chronic liver disease,
2014,Alaska,Chronic liver disease,
2019,Nevada,Chronic liver disease,13.4
2014,North Dakota,Chronic liver disease,
2014,Alabama,Chronic liver disease,13.5
2012,New York,Chronic liver disease,9.6
2010,California,Chronic liver disease,7.4
2010,Georgia,Chronic liver disease,
2012,Connecticut,Chronic liver disease,
2017,Illinois,Chronic liver disease,
2014,Iowa,Chronic liver disease,
2011,North Carolina,Chronic liver disease,9.5
2012,Delaware,Chronic liver disease,
2020,Connecticut,Chronic liver disease,
2010,Oklahoma,Chronic liver disease,9.0
2014,Connecticut,Chronic liver disease,6.8
2014,North Dakota,Chronic liver disease,5.8
2019,Louisiana,Chronic liver disease,12.2
2010,Kentucky,Chronic liver disease,
2016,Michigan,Chronic liver disease,
2018,New York,Chronic liver disease,7.5
2017,Ohio,Chronic liver disease,
2015,Nevada,Chronic liver disease,18.3
2010,Connecticut,Chronic liver disease,10.1
2010,Indiana,Chronic liver disease,9.2
2012,Kansas,Chronic liver disease,
2013,District of Columbia,Chronic liver disease,13.0
2012,Illinois,Chronic liver disease,6.8
2013,Ohio,Chronic liver disease,12.0
2015,Illinois,Chronic liver disease,8.7
2011,New Jersey,Chronic liver disease,7.0
2011,Kentucky,Chronic liver disease,6.1
2020,Michigan,Chronic liver disease,
2013,California,Chronic liver disease,8.6
2017,Nebraska,Chronic liver disease,9.9
2012,North Carolina,Chronic liver disease,
2010,Arizona,Chronic liver disease,16.6
2013,Florida,Chronic liver disease,
2020,New Mexico,Chronic liver disease,39.9
2010,Delaware,Chronic liver disease,13.7
2016,New Hampshire,Chronic liver disease,6.9
2015,New Mexico,Chronic liver disease,24.8
2010,Indiana,Chronic liver disease,
2016,Alaska,Chronic liver disease,17.7
2019,North Dakota,Chronic liver disease,11.4
2020,Oklahoma,Chronic liver disease,9.6
2016,Illinois,Chronic liver disease,6.5
2010,Montana,Chronic liver disease,62.3
2016,Connecticut,Chronic liver disease,8.9
2014,North Dakota,Chronic liver disease,7.7
2011,North Carolina,Chronic liver disease,10.6
2015,New York,Chronic liver disease,6.7
2016,Arkansas,Chronic liver disease,
2011,Nebraska,Chronic liver disease,
2015,Maine,Chronic liver disease,7.0
2017,Idaho,Chronic liver disease,10.2
2019,Missouri,Chronic liver disease,7.2
2019,Massachusetts,Chronic liver disease,11.3
2020,Montana,Chronic liver disease,
2018,Florida,Chronic liver disease,8.0
2013,Connecticut,Chronic liver disease,10.6
2014,Alaska,Chronic liver disease,8.8
2019,Louisiana,Chronic liver disease,9.9
2016,Oregon,Chronic liver disease,12.5
2015,Florida,Chronic liver disease,15.4
2019,Arizona,Chronic liver disease,18.6
2013,Louisiana,Chronic liver disease,14.0
2020,Minnesota,Chronic liver disease,
2015,Mississippi,Chronic liver disease,15.9
2016,Oklahoma,Chronic liver disease,11.1
2014,Iowa,Chronic liver disease,8.8
2013,New York,Chronic liver disease,9.6
2010,Georgia,Chronic liver disease,
2020,Colorado,Chronic liver disease,15.3
2017,Maryland,Chronic liver disease,
2016,Alabama,Chronic liver disease,9.8
2018,Oklahoma,Chronic liver disease,11.7
2019,Ohio,Chronic liver disease,8.1
2011,North Dakota,Chronic liver disease,
2011,Maryland,Chronic liver disease,5.4
2013,Alabama,Chronic liver disease,7.0
2019,Oklahoma,Chronic liver disease,14.1
2013,Alabama,Chronic liver disease,
2015,Oklahoma,Chronic liver disease,13.7
2018,Oregon,Chronic liver disease,
2012,Delaware,Chronic liver disease,
2018,Hawaii,Chronic liver disease,4.2
2018,Oregon,Chronic liver disease,16.8
2010,Arkansas,Chronic liver disease,
2012,Iowa,Chronic liver disease,8.0
2018,North Carolina,Chronic liver disease,7.5
2012,Connecticut,Chronic liver disease,
2015,Arkansas,Chronic liver disease,12.1
2013,New Mexico,Chronic liver disease,9.6
2012,Arizona,Chronic liver disease,9.3
2013,District of Columbia,Chronic liver disease,
2012,Kentucky,Chronic liver disease,
2013,California,Chronic liver disease,16.4
2012,Nebraska,Chronic liver disease,
2013,Massachusetts,Chronic liver disease,8.0
2019,Kansas,Chronic liver disease,16.2
2010,New York,Chronic liver disease,
2012,Arkansas,Chronic liver disease,6.5
2015,Nebraska,Chronic liver disease,7.7
2019,Hawaii,Chronic liver disease,9.7
2015,North Carolina,Chronic liver disease,14.5
2016,Louisiana,Chronic liver disease,10.7
2011,Colorado,Chronic liver disease,24.2
2016,Missouri,Chronic liver disease,
2010,Indiana,Chronic liver disease,6.1
2012,Missouri,Chronic liver disease,8.7
2010,Louisiana,Chronic liver disease,
2010,Missouri,Chronic liver disease,10.7
2020,New York,Chronic liver disease,5.6
2011,Hawaii,Chronic liver disease,8.0
2016,Iowa,Chronic liver disease,6.1
2014,Missouri,Chronic liver disease,11.6
2018,Arkansas,Chronic liver disease,
2016,Delaware,Chronic liver disease,8.1
2010,Idaho,Chronic liver disease,9.2
2017,Michigan,Chronic liver disease,9.4
2017,Missouri,Chronic liver disease,6.6
2013,Montana,Chronic liver disease,14.2
2013,Colorado,Chronic liver disease,16.8
2016,Maine,Chronic liver disease,
2014,Massachusetts,Chronic liver disease,8.6
2011,Missouri,Chronic liver disease,7.5
2015,Kentucky,Chronic liver disease,17.2
2017,Michigan,Chronic liver disease,
2016,District of Columbia,Chronic liver disease,
2010,Michigan,Chronic liver disease,13.6
2020,North Dakota,Chronic liver disease,
2015,Illinois,Chronic liver disease,8.1
2010,Florida,Chronic liver disease,14.6
2015,Ohio,Chronic liver disease,
2015,Arizona,Chronic liver disease,15.0
2019,Mississippi,Chronic liver disease,6.8
2020,Oregon,Chronic liver disease,51.5
2016,Kansas,Chronic liver disease,6.7
2019,Michigan,Chronic liver disease,9.9
2012,Mississippi,Chronic liver disease,13.7
2013,Arkansas,Chronic liver disease,10.7
2015,Alabama,Chronic liver disease,12.5
2011,Montana,Chronic liver disease,
2011,Nebraska,Chronic liver disease,5.5
2020,Oregon,Chronic liver disease,19.9
2010,North Dakota,Chronic liver disease,
2013,Oregon,Chronic liver disease,8.6
2010,Alaska,Chronic liver disease,
2015,Oregon,Chronic liver disease,
2010,Colorado,Chronic liver disease,
2013,Alabama,Chronic liver disease,11.2
2020,Ohio,Chronic liver disease,10.9
2011,Delaware,Chronic liver disease,
2013,Arkansas,Chronic liver disease,6.4
2011,Arizona,Chronic liver disease,17.2
2011,California,Chronic liver disease,11.7
2019,North Dakota,Chronic liver disease,
2020,Arkansas,Chronic liver disease,
2020,Florida,Chronic liver disease,6.7
2015,New Jersey,Chronic liver disease,4.9
2016,New Mexico,Chronic liver disease,19.7
2020,Illinois,Chronic liver disease,7.9
2014,Georgia,Chronic liver disease,8.6
2020,Delaware,Chronic liver disease,
2013,Alaska,Chronic liver disease,25.7
2019,Minnesota,Chronic liver disease,10.7
2013,Montana,Chronic liver disease,
2014,Montana,Chronic liver disease,12.2
2015,Indiana,Chronic liver disease,15.1
2020,Iowa,Chronic liver disease,15.6
2020,California,Chronic liver disease,36.0
2010,Kansas,Chronic liver disease,
2013,North Dakota,Chronic liver disease,84.0
2015,Massachusetts,Chronic liver disease,
2017,Michigan,Chronic liver disease,11.1
2019,Georgia,Chronic liver disease,6.6
2019,Maine,Chronic liver disease,10.1
2012,Michigan,Chronic liver disease,7.0
2015,Iowa,Chronic liver disease,8.8
2019,Maryland,Chronic liver disease,6.0
2015,Missouri,Chronic liver disease,
2013,Alaska,Chronic liver disease,9.7
2010,Delaware,Chronic liver disease,
2014,Massachusetts,Chronic liver disease,5.6
2015,North Carolina,Chronic liver disease,
2017,Missouri,Chronic liver disease,9.9
2020,Alaska,Chronic liver disease,22.4
2019,Kentucky,Chronic liver disease,19.5
2016,New York,Chronic liver disease,4.5
2017,Louisiana,Chronic liver disease,13.6
2018,Ohio,Chronic liver disease,13.8
2012,Arizona,Chronic liver disease,
2015,Louisiana,Chronic liver disease,10.5
2019,Montana,Chronic liver disease,88.2
2017,Nevada,Chronic liver disease,6.5
2016,Ohio,Chronic liver disease,11.2
2015,Ohio,Chronic liver disease,14.0
2011,Colorado,Chronic liver disease,12.3
2013,Nevada,Chronic liver disease,12.9
2014,Ohio,Chronic liver disease,
2020,North Carolina,Chronic liver disease,
2016,Kansas,Chronic liver disease,15.9
2015,Montana,Chronic liver disease,14.3
2015,Kansas,Chronic liver disease,9.7
2016,Delaware,Chronic liver disease,
2012,Indiana,Chronic liver disease,14.5
2015,Nebraska,Chronic liver disease,
2017,Alaska,Chronic liver disease,
2010,Iowa,Chronic liver disease,5.9
2018,Alabama,Chronic liver disease,
2012,Missouri,Chronic liver disease,5.3
2014,Minnesota,Chronic liver disease,7.9
2019,New Hampshire,Chronic liver disease,11.0
2018,Maryland,Chronic liver disease,6.8
2020,Arizona,Chronic liver disease,
2013,Delaware,Chronic liver disease,
2017,Maryland,Chronic liver disease,7.7
2019,New York,Chronic liver disease,7.1
2014,Maine,Chronic liver disease,6.3
2020,District of Columbia,Chronic liver disease,8.3
2013,Maryland,Chronic liver disease,
2013,Connecticut,Chronic liver disease,
2018,Oklahoma,Chronic liver disease,13.8
2015,Georgia,Chronic liver disease,6.5
2010,Missouri,Chronic liver disease,
2017,Maryland,Chronic liver disease,9.3
2020,Connecticut,Chronic liver disease,14.2
2015,Delaware,Chronic liver disease,
2014,Oregon,Chronic liver disease,9.0
2013,Oklahoma,Chronic liver disease,32.8
2015,Hawaii,Chronic liver disease,
2020,Hawaii,Chronic liver disease,
2012,Hawaii,Chronic liver disease,6.3
2018,Colorado,Chronic liver disease,
2013,District of Columbia,Chronic liver disease,
2015,Arizona,Chronic liver disease,14.4
2019,Iowa,Chronic liver disease,
2012,Montana,Chronic liver disease,
2010,New Hampshire,Chronic liver disease,
2015,Kentucky,Chronic liver disease,
2018,Massachusetts,Chronic liver disease,6.8
2011,Iowa,Chronic liver disease,
2010,Massachusetts,Chronic liver disease,7.7
2020,Alabama,Chronic liver disease,12.0
2012,Idaho,Chronic liver disease,15.2
2016,Hawaii,Chronic liver disease,7.1
2010,Georgia,Chronic liver disease,4.6
2017,North Dakota,Chronic liver disease,
2010,District of Columbia,Chronic liver disease,11.5
2012,North Carolina,Chronic liver disease,
2011,Oklahoma,Chronic liver disease,
2011,Idaho,Chronic liver disease,
2017,Alabama,Chronic liver disease,9.0
2018,Delaware,Chronic liver disease,
2010,Mississippi,Chronic liver disease,9.0
2020,New Hampshire,Chronic liver disease,
2017,Iowa,Chronic liver disease,
2013,New Mexico,Chronic liver disease,
2010,Colorado,Chronic liver disease,10.0
2019,Missouri,Chronic liver disease,
2020,Mississippi,Chronic liver disease,15.7
2015,Georgia,Chronic liver disease,10.8
2011,Georgia,Chronic liver disease,
2016,New Mexico,Chronic liver disease,
2017,New Hampshire,Chronic liver disease,
2017,Arkansas,Chronic liver disease,8.6
2018,District of Columbia,Chronic liver disease,
2012,Alabama,Chronic liver disease,7.4
2018,Arkansas,Chronic liver disease,
2014,Indiana,Chronic liver disease,11.0
2015,Connecticut,Chronic liver disease,6.7
2020,Nevada,Chronic liver disease,12.9
2016,Maryland,Chronic liver disease,5.6
2017,Illinois,Chronic liver disease,
2015,Ohio,Chronic liver disease,11.1
2015,Idaho,Chronic liver disease,
2010,New Jersey,Chronic liver disease,7.3
2011,Arizona,Chronic liver disease,13.5
2016,Kentucky,Chronic liver disease,16.3
2017,Minnesota,Chronic liver disease,8.6
2016,New Hampshire,Chronic liver disease,
2011,Arkansas,Chronic liver disease,9.4
2019,North Carolina,Chronic liver disease,7.1
2011,Massachusetts,Chronic liver disease,
2014,Michigan,Chronic liver disease,
2012,Alaska,Chronic liver disease,9.9
2015,Missouri,Chronic liver disease,9.6
2016,Idaho,Chronic liver disease,
2017,Maine,Chronic liver disease,10.4
2017,New Mexico,Chronic liver disease,86.0
2016,Michigan,Chronic liver disease,7.6
2020,New Mexico,Chronic liver disease,
2018,Connecticut,Chronic liver disease,
2012,Kansas,Chronic liver disease,
2015,Oregon,Chronic liver disease,14.1
2010,District of Columbia,Chronic liver disease,
2020,North Carolina,Chronic liver disease,12.9
2019,Hawaii,Chronic liver disease,
2010,Nevada,Chronic liver disease,11.1
2012,North Dakota,Chronic liver disease,11.3
2019,Massachusetts,Chronic liver disease,9.5
2015,North Dakota,Chronic liver disease,
2010,Maine,Chronic liver disease,8.8
2017,Oregon,Chronic liver disease,12.0
2012,Delaware,Chronic liver disease,4.8
2015,Louisiana,Chronic liver disease,11.5
2011,New Hampshire,Chronic liver disease,12.4
2018,Illinois,Chronic liver disease,4.4
2017,Florida,Chronic liver disease,14.5
2014,New Jersey,Chronic liver disease,5.1
2011,Nebraska,Chronic liver disease,5.2
2012,Louisiana,Chronic liver disease,9.4
2016,Mississippi,Chronic liver disease,
2017,Indiana,Chronic liver disease,11.6
2013,Michigan,Chronic liver disease,
2020,Louisiana,Chronic liver disease,
2014,Maryland,Chronic liver disease,
2015,North Carolina,Chronic liver disease,12.0
2010,Florida,Chronic liver disease,5.6
2015,Montana,Chronic liver disease,
2011,North Dakota,Chronic liver disease,16.1
2016,Indiana,Chronic liver disease,
2018,Maryland,Chronic liver disease,6.9
2019,Illinois,Chronic liver disease,13.7
2016,Georgia,Chronic liver disease,8.5
2018,North Carolina,Chronic liver disease,11.9
2020,Georgia,Chronic liver disease,12.1
2012,Florida,Chronic liver disease,7.1
2017,Ohio,Chronic liver disease,10.4
2018,Arizona,Chronic liver disease,
2016,Massachusetts,Chronic liver disease,11.6
2013,New Jersey,Chronic liver disease,
2012,Oregon,Chronic liver disease,11.8
2017,Montana,Chronic liver disease,
2020,Georgia,Chronic liver disease,
2017,District of Columbia,Chronic liver disease,
2015,Alaska,Chronic liver disease,
2015,Indiana,Chronic liver disease,12.8
2018,New Mexico,Chronic liver disease,25.7
2017,Georgia,Chronic liver disease,
2013,Illinois,Chronic liver disease,
2013,Maine,Chronic liver disease,8.4
2011,Idaho,Chronic liver disease,10.5
2018,Michigan,Chronic liver disease,20.9
2016,Oklahoma,Chronic liver disease,
2013,Georgia,Chronic liver disease,
2018,District of Columbia,Chronic liver disease,10.6
2017,Montana,Chronic liver disease,20.6
2012,Indiana,Chronic liver disease,
2020,Alaska,Chronic liver disease,22.4
2019,Florida,Chronic liver disease,7.9
2011,New Jersey,Chronic liver disease,5.2
2017,Georgia,Chronic liver disease,12.6
2017,Mississippi,Chronic liver disease,
2019,Mississippi,Chronic liver disease,9.0
2016,North Carolina,Chronic liver disease,9.1
2012,Hawaii,Chronic liver disease,5.4
2013,Mississippi,Chronic liver disease,
